Address,Land Use Description,Market Value
 6630 NW 29th Ave Miami FL 33147,Single Family Residential,
210 19841 SW 114th Ave Miami FL 33157,Condominium,
 2728 NW 131st St Opa Locka FL 33054,Townhouse,
 6724 Pridgen St Panama City FL 32404,Single Family Residential,
 16226 E Lullwater Dr Panama City Beach FL 32413,Single Family Residential,
 5530 Thomas Dr Panama City Beach FL 32408,Vacant Land - General,
 3303 Country Club Dr Lynn Haven FL 32444,Single Family Residential,
 176 Rindge Rd Fitchburg MA 01420,Residential Vacant Land,
 6053 SW 19th Ct Pompano Beach FL 33068,Townhouse,
2 9812 Foxhall Way Estero FL 33928,Townhouse,
