Address,Land Use Description,Market Value
 340 NW LOOP RD WHITE SALMON WA 98672,Auto Repair,
 456 NW LINCOLN ST WHITE SALMON WA 98672,Residential Vacant Land,
 649 SNOWDEN RD WHITE SALMON WA 98672,Timberland,
 49 Lakeview Rd White Salmon WA 98672,Single Family Residential,
 312 Lakeview Rd White Salmon WA 98672,Single Family Residential,
 14 Creekside Rd White Salmon WA 98672,Single Family Residential,
 40 NW Lake Rd White Salmon WA 98672,Single Family Residential,
 32 Lakeview Rd White Salmon WA 98672,Seasonal,
 60 Lakeview Rd White Salmon WA 98672,Seasonal,
 40 Private Lake Rd White Salmon WA 98672,Seasonal,
