city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami,19,33127,2024-02-20T06:11:05.330Z,18,5700,1512,,,25.827739,6th,,70f77f175e1526b6f1f2be3bca3cda4f,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43807923_zpid/,5700 NW 6th Ave Miami FL 33127,"[-80.205986, 25.827739]",43807923,,-80.205986,219500,2024-01-31T08:00:00.000Z,221745,11,,Ave,2350,17,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/70f77f175e1526b6f1f2be3bca3cda4f
Miami,15,33150,2024-02-20T05:31:15.446Z,13,8202,2839,,,25.849891,5th,,fe00df069ad81a1fff5353b6c7ef34fa,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44158191_zpid/,8202 NW 5th Ct Miami FL 33150,"[-80.206527, 25.849891]",44158191,,-80.206527,332200,2024-01-31T08:00:00.000Z,326597,11,,Ct,2800,19,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/fe00df069ad81a1fff5353b6c7ef34fa
Opa Locka,10,33054,2024-02-21T01:03:18.869Z,8,1045,3019,,,25.911108,Curtiss,,7768db69c5458921c743172669882e0c,FL,,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43994986_zpid/,1045 Curtiss Dr Opa Locka FL 33054,"[-80.251403, 25.911108]",43994986,,-80.251403,406500,2024-02-20T08:00:00.000Z,400686,10,,Dr,3311,15,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/7768db69c5458921c743172669882e0c
Miami Gardens,10,33056,2024-02-21T00:49:49.063Z,8,3411,4141,,,25.931241,172nd,,eb5dcfa542e83e311f76dbf95cd8de97,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44106066_zpid/,3411 NW 172nd Ter Miami Gardens FL 33056,"[-80.257614, 25.931241]",44106066,,-80.257614,435000,2024-02-20T08:00:00.000Z,428462,10,,Ter,3513,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/eb5dcfa542e83e311f76dbf95cd8de97
Miami Gardens,13,33056,2024-02-15T11:08:26.068Z,15,17321,4115,,,25.931953,37th,,a5ffd7c399783e5aeb9e081aee680d9e,FL,NW,2024-02-04T08:00:00.000Z,https://www.zillow.com/homes/44106162_zpid/,17321 NW 37th Ave Miami Gardens FL 33056,"[-80.260726, 25.931953]",44106162,,-80.260726,445800,2024-02-13T08:00:00.000Z,440928,17,,Ave,2999,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/a5ffd7c399783e5aeb9e081aee680d9e
Miami Gardens,10,33056,2024-02-20T13:35:50.832Z,8,3510,3940,,,25.933584,176th,,1c72a4708c4b4f6dbb33989e0821f029,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936198_zpid/,3510 NW 176th St Miami Gardens FL 33056,"[-80.259658, 25.933584]",62936198,,-80.259658,428200,2023-12-19T08:00:00.000Z,422697,10,,St,3200,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/1c72a4708c4b4f6dbb33989e0821f029
Miami,10,33147,2024-02-20T05:38:59.909Z,8,9410,2718,,,25.859411,32nd,,870b6592534c31953e37505c93d57b92,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44154066_zpid/,9410 NW 32nd Ct Miami FL 33147,"[-80.251655, 25.859411]",44154066,,-80.251655,420800,2024-02-13T08:00:00.000Z,415507,11,,Ct,3357,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/870b6592534c31953e37505c93d57b92
Miami,11,33167,2024-02-21T01:03:20.054Z,9,1711,1546,,,25.897865,135th,,81894871f6c0e1ce0fa36d26893bf6c0,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43996214_zpid/,1711 NW 135th St Miami FL 33167,"[-80.227874, 25.897865]",43996214,,-80.227874,401500,2024-02-20T08:00:00.000Z,394879,11,,St,3575,8,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/81894871f6c0e1ce0fa36d26893bf6c0
Miami Gardens,10,33056,2024-02-20T07:03:02.269Z,8,3540,1250,,,25.966047,209th,,075c26d220a1f0eaa9e5044d3c4f7139,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44062156_zpid/,3540 NW 209th Ter Miami Gardens FL 33056,"[-80.26139, 25.966047]",44062156,,-80.26139,432100,2024-02-06T08:00:00.000Z,426269,15,,Ter,3267,21,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/075c26d220a1f0eaa9e5044d3c4f7139
Miami Gardens,6,33056,2024-02-20T05:37:51.448Z,6,3520,3413,,,25.935838,178th,,6af0310e20935fcaa84da48b2cdb1eec,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44105747_zpid/,3520 NW 178th St Miami Gardens FL 33056,"[-80.259666, 25.935838]",44105747,,-80.259666,486600,2024-02-13T08:00:00.000Z,481472,5,,St,3469,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6af0310e20935fcaa84da48b2cdb1eec
