city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami,19,33127,2024-03-06T12:31:44.789Z,17,5700,1512,,,25.827739,6th,,70f77f175e1526b6f1f2be3bca3cda4f,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43807923_zpid/,5700 NW 6th Ave Miami FL 33127,"[-80.205986, 25.827739]",43807923,,-80.205986,224400,2024-02-29T08:00:00.000Z,221700,9,,Ave,2299,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/70f77f175e1526b6f1f2be3bca3cda4f
Miami,15,33150,2024-03-06T14:08:26.955Z,12,8202,2839,,,25.849891,5th,,fe00df069ad81a1fff5353b6c7ef34fa,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44158191_zpid/,8202 NW 5th Ct Miami FL 33150,"[-80.206527, 25.849891]",44158191,,-80.206527,343800,2024-02-29T08:00:00.000Z,324400,15,,Ct,2999,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/fe00df069ad81a1fff5353b6c7ef34fa
Miami Gardens,10,33056,2024-03-06T12:57:47.658Z,7,3411,4141,,,25.931241,172nd,,eb5dcfa542e83e311f76dbf95cd8de97,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44106066_zpid/,3411 NW 172nd Ter Miami Gardens FL 33056,"[-80.257614, 25.931241]",44106066,,-80.257614,431200,2024-02-29T08:00:00.000Z,427700,8,,Ter,3599,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/eb5dcfa542e83e311f76dbf95cd8de97
Opa Locka,11,33054,2024-03-06T13:21:41.260Z,8,1045,3019,,,25.911108,Curtiss,,7768db69c5458921c743172669882e0c,FL,,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43994986_zpid/,1045 Curtiss Dr Opa Locka FL 33054,"[-80.251403, 25.911108]",43994986,,-80.251403,404700,2024-02-29T08:00:00.000Z,401000,9,,Dr,3499,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/7768db69c5458921c743172669882e0c
Miami Gardens,9,33056,2024-03-06T13:51:05.979Z,7,17231,4113,,,25.931364,37th,,ddc43602094228a0c00db36fdcbef97c,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44106160_zpid/,17231 NW 37th Ave Miami Gardens FL 33056,"[-80.260673, 25.931364]",44106160,,-80.260673,454000,2024-02-29T08:00:00.000Z,450200,7,,Ave,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/ddc43602094228a0c00db36fdcbef97c
Miami Gardens,9,33056,2024-03-06T19:14:11.106Z,7,3510,3940,,,25.933584,176th,,1c72a4708c4b4f6dbb33989e0821f029,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62936198_zpid/,3510 NW 176th St Miami Gardens FL 33056,"[-80.259658, 25.933584]",62936198,,-80.259658,424400,2024-02-27T08:00:00.000Z,421800,13,,St,3314,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/1c72a4708c4b4f6dbb33989e0821f029
Miami,12,33167,2024-03-03T13:24:30.912Z,10,1711,1546,,,25.897865,135th,,81894871f6c0e1ce0fa36d26893bf6c0,FL,NW,2024-02-28T08:00:00.000Z,https://www.zillow.com/homes/43996214_zpid/,1711 NW 135th St Miami FL 33167,"[-80.227874, 25.897865]",43996214,,-80.227874,402100,2024-02-29T08:00:00.000Z,394741,10,,St,3599,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/81894871f6c0e1ce0fa36d26893bf6c0
Miami,11,33147,2024-03-06T14:01:46.730Z,8,9410,2718,,,25.859411,32nd,,870b6592534c31953e37505c93d57b92,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44154066_zpid/,9410 NW 32nd Ct Miami FL 33147,"[-80.251655, 25.859411]",44154066,,-80.251655,416500,2024-02-29T08:00:00.000Z,416000,9,,Ct,3300,15,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/870b6592534c31953e37505c93d57b92
Miami Gardens,6,33056,2024-03-02T10:33:26.499Z,5,3520,3413,,,25.935838,178th,,6af0310e20935fcaa84da48b2cdb1eec,FL,NW,2024-02-28T08:00:00.000Z,https://www.zillow.com/homes/44105747_zpid/,3520 NW 178th St Miami Gardens FL 33056,"[-80.259666, 25.935838]",44105747,,-80.259666,488200,2024-02-27T08:00:00.000Z,479955,6,,St,3469,15,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6af0310e20935fcaa84da48b2cdb1eec
Miami Gardens,10,33056,2024-03-06T13:19:40.302Z,8,3540,1250,,,25.966047,209th,,075c26d220a1f0eaa9e5044d3c4f7139,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44062156_zpid/,3540 NW 209th Ter Miami Gardens FL 33056,"[-80.26139, 25.966047]",44062156,,-80.26139,428400,2024-02-27T08:00:00.000Z,424700,12,,Ter,3399,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/075c26d220a1f0eaa9e5044d3c4f7139
